source,target,relation,property,value
N2,N1,执取,强度,随紧箍咒衰减∈[0,1]
N1,N11,现行,激活函数,ReLU/种子生现行
N5,N11,熏习,学习率lr/动量β,逐走白骨精后权重更新
N8,N16,异熟,延迟步数,9世跨时成熟
N2,N12,转依,状态,冻结(正则化收敛)
N6,N2,系缚,惩罚系数λ,L2正则化
N4,N5,遮蔽,失活概率p,Dropout未激活(肉眼凡胎)
N10,N2,系缚,冻结时长,五行山五百年梯度停止
N10,N12,转依,状态,解冻(凌云渡脱胎换权重)
N16,N13,解脱,所有者,无所有者(拒绝被定义)
N9,N11,现行,常量嵌入,金箍棒重量=武器即权重
N20,N14,系缚,分歧类型,镜像过拟合后删除
N19,N14,系缚,竞争类型,零和偏置
N6,N2,熏习,频次,紧箍咒七遍声波=正则信号
N7,N3,现行,结构化,朱印=目标函数
N17,N4,现行,编码,气味→感知
N18,N4,现行,编码,味道→奖励标识
N3,N2,执取,强度,凡胎弱执我
N1,N16,转依,存储,收敛后权重入库
N13,N16,转依,泛化,平等性智=无我
