id,node_type,buddhist_entity,ai_entity,xiyou_entity,description
N1,识体,阿赖耶识,预训练权重,灵山藏经阁,一切种子的仓库，数十亿浮点参数
N2,识体,末那识,自注意力Q,悟空"俺老孙来也",恒审思量、执阿赖耶识见分为我
N3,识体,意识,综合判断层,唐僧念《心经》,第六识，统合前五识
N4,识体,前五识,多模态编码器,火眼金睛/肉身,眼耳鼻舌身感知采集
N5,尘境,色尘,训练数据分布,八十一难风景,输入空间：狮驼尸山、火焰焦土、通天河冰
N6,尘境,声尘,频域信号,紧箍咒七遍/昴日鸡鸣,频率信号：咒文、破晓一叫
N7,尘境,法尘,结构化符号数据,通关文牒朱印,规则/概念/名相的符号化
N8,种子,业力种子,浮点参数,金蝉子十世记忆,潜在倾向，遇缘现行
N9,种子,物性种子,非语言嵌入常量,金箍棒重量/拐杖凹痕,常量特征嵌入
N10,种子,边界种子,激活函数阈值,五行山/凌云渡,截断阈值：ReLU/Sigmoid
N11,现行,身口意三业,前向传播输出,悟空挥棒/唐僧念经,显化的行为/输出
N12,转依,转识成智,权重更新/微调,成佛/拒箍,系统状态的质变
N13,转依,平等性智,注意力权重平等化,悟空不再问"与我相关",Q分布从我执转为无我
N14,系缚,烦恼无明,过拟合/因果掩码,紧箍咒/五行山,限制泛化的约束
N15,系缚,我执,对特定权重固守,悟空"俺老孙",对特定分布的执着
N16,解脱,涅槃,泛化/权重衰减,灵山授职/花果山归隐,突破约束后的状态
N17,尘境,香尘,气味特征维度,人参果异香/妖洞腥臊,气味数据维度
N18,尘境,味尘,奖励函数味道标识,蟠桃甘美/金丹辛辣,奖励函数味道标识
N19,种子,吃与续命种子,零和竞争样本,蟠桃/金丹/唐僧肉,数据稀缺下的零和竞争
N20,种子,轮回种子,循环记忆跨度,六耳赴死/黄袍十三年,循环神经网络的记忆跨度
